i#CVE_Estado,mS#Estado,C#Distritos,C#Tiempo_promedio,C#Distancia_promedio,C#Densidad,C#Padron,C#Padron_Loc_Rurales,C#Secciones_rurales,C#Promedio_Solic-Equip_MAC_fijo,C#Promedio_Solic-Equip_MAC_no_fijo,C#IC_distrital
1,AGS,3,14.33333333,8.966666667,171.5754116,971115,111227,75,605.358631,100.5166667,-0.625426285
2,BC,8,110.875,121.7375,37.89137819,2826713,182781,117,675.39737,97.453125,-0.61571661
3,BCS,2,76,96.6,7.024917063,511450,44636,84,475.1156881,196.3333333,3.514248614
4,CAMP,2,91,103.35,10.69469933,632436,140331,181,498.3184524,308.9380208,1.681282854
5,COAH,7,132.7142857,194.9571429,14.00632357,2116460,140763,313,602.3276502,316.1696429,0.337992567
6,COL,2,45,54.75,89.52044685,516655,37604,57,529.2238095,266.875,-0.569968266
7,CHIS,13,161.7692308,161.2,45.91460523,3553831,1672217,1097,523.7309638,386.3832379,1.263674459
8,CHIH,9,140.7777778,209.5777778,10.83359382,2677752,275327,643,796.1261924,164.5124008,0.766711854
9,CDMX,24,32.58333333,15.08333333,4863.457618,7420577,1652,1,778.7801518,1.145833333,-2.187279946
10,DGO,4,62.75,82.275,10.64764551,1306509,329170,699,695.9603964,194.4007813,2.511943168
11,GTO,15,67.46666667,79.74666667,139.6538988,4272391,1108932,1068,750.2450265,210.6826389,0.142790538
12,GRO,9,145.5555556,147.4666667,38.39818745,2459699,886310,1688,613.9867725,346.369213,1.840718239
13,HGO,7,85.57142857,75.24285714,99.72600819,2093116,818220,1073,724.7468821,393.4598214,1.433416126
14,JAL,20,64.25,63.52,73.41181675,5709649,538768,698,691.6107703,264.81875,-0.611355324
15,MEX,41,80.95121951,77.95609756,514.7406647,11559233,1463387,1105,708.6344762,133.7445122,-1.099685244
16,MICH,12,114.3333333,132.8,56.48677428,3322815,876634,1026,535.7703952,253.6883681,0.612115817
17,MOR,5,41.6,26.46,283.6785114,1408007,84249,103,627.1493155,309.175,-0.871306478
18,NAY,3,38.33333333,73.93333333,29.40299503,834047,183404,335,727.4351852,237.8916667,0.763063227
19,NL,12,28.41666667,26.66666667,58.76417275,3794620,164478,311,714.3796859,113.3446181,-0.813277829
20,OAX,10,190,167.29,29.88318246,2829808,752295,960,640.7495055,419.8199405,1.212487737
21,PUE,15,81.46666667,77.53333333,133.8445968,4613378,937216,753,679.0108978,237.5902778,-0.108013077
22,QRO,5,29.6,27.88,134.9107161,1590306,279911,205,737.6016865,343.040625,-0.104193786
23,Q_ROO,4,201.5,272.25,25.40402857,1257339,90453,102,590.0654762,244.3854167,-0.447795154
24,SLP,7,120,160.7428571,31.45369005,1935074,628880,980,673.5113095,316.4613095,1.140605859
25,SIN,7,100.7142857,217.8142857,36.57071404,2090445,332328,1032,820.614881,309.4157738,0.691725526
26,SON,7,167.8571429,237.8,11.18812982,2035479,221548,298,467.3261703,345.5213223,0.751927298
27,TAB,6,45,43.26666667,64.11509443,1662467,640604,523,714.7876984,370.4084325,0.764620584
28,TAMPS,9,210.8888889,274.3222222,33.0917295,2677094,231520,346,526.6278656,148.7736111,-0.303494363
29,TLAX,3,22,13.33333333,219.3831172,901992,47969,121,759.8944024,372.1527778,-0.552031677
30,VER,20,206.25,205.7,77.44726598,5618012,1779611,1878,701.5936912,362.4795288,0.61847372
31,YUC,5,53.2,60.8,35.83910477,1522002,97667,161,771.5070147,298.4452381,-0.255204511
32,ZAC,4,27.25,32.875,14.81106453,1122395,320558,957,542.2241071,305.7961174,2.445247116
